"","UseRIC","CurveName","Tenor","BSRef","TenorRefRic","Trade.Date","Mid.Price","Bid.Price","Ask.Price","Instrument.Snap.Time","Cross.Scaling.Factor","Maturity.Date"
"150","KRW3M=","KRW_NDF_Swap_Point","3M","KRW_NDF_3M","KRW3M=",20181029,-400,-530,-270,"20181029 16:00:00",100,20190131
"151","KRW6M=","KRW_NDF_Swap_Point","6M","KRW_NDF_6M","KRW6M=",20181029,-890,-1090,-690,"20181029 16:00:00",100,20190430
"152","KRWSW=","KRW_NDF_Swap_Point","1W","KRW_NDF_SW","KRWSW=",20181029,-27,-60,6,"20181029 16:00:00",100,20181107
"153","MXN1M=","MXN_Forward_Swap_Point","1M","MXN_Forward_1M","MXN1M=",20181029,0.0924,0.0899,0.0949,"20181029 16:00:00",1,20181130
"154","MXN1Y=","MXN_Forward_Swap_Point","1Y","MXN_Forward_1Y","MXN1Y=",20181029,1.1021,1.0871,1.1171,"20181029 16:00:00",1,20191031
"155","MXN2M=","MXN_Forward_Swap_Point","2M","MXN_Forward_2M","MXN2M=",20181029,0.1851,0.1821,0.1881,"20181029 16:00:00",1,20181231
"156","MXN2W=","MXN_Forward_Swap_Point","2W","MXN_Forward_2W","MXN2W=",20181029,0.0418,0.0403,0.0433,"20181029 16:00:00",1,20181114
"157","MXN3M=","MXN_Forward_Swap_Point","3M","MXN_Forward_3M","MXN3M=",20181029,0.2714,0.2674,0.2754,"20181029 16:00:00",1,20190131
"158","MXN6M=","MXN_Forward_Swap_Point","6M","MXN_Forward_6M","MXN6M=",20181029,0.55,0.544,0.556,"20181029 16:00:00",1,20190430
"159","MXN9M=","MXN_Forward_Swap_Point","9M","MXN_Forward_9M","MXN9M=",20181029,0.8263,0.8163,0.8363,"20181029 16:00:00",1,20190731
"160","MXNSW=","MXN_Forward_Swap_Point","1W","MXN_Forward_1W","MXNSW=",20181029,0.0208,0.0198,0.0218,"20181029 16:00:00",1,20181107
"161","MYR1M=","MYR_Forward_Swap_Point","1M","MYR_Forward_1M","MYR1M=",20181029,28.5,25,32,"20181029 16:00:00",10000,20181130
"162","MYR1M=","MYR_NDF_Swap_Point","1M","MYR_NDF_1M","MYR1M=",20181029,28.5,25,32,"20181029 16:00:00",10000,20181130
"163","MYR1Y=","MYR_Forward_Swap_Point","1Y","MYR_Forward_1Y","MYR1Y=",20181029,60,45,75,"20181029 16:00:00",10000,20191031
"164","MYR1Y=","MYR_NDF_Swap_Point","1Y","MYR_NDF_1Y","MYR1Y=",20181029,60,45,75,"20181029 16:00:00",10000,20191031
"165","MYR2M=","MYR_NDF_Swap_Point","2M","MYR_NDF_2M","MYR2M=",20181029,40,35,45,"20181029 16:00:00",10000,20181231
"166","MYR2W=","MYR_NDF_Swap_Point","2W","MYR_NDF_2W","MYR2W=",20181029,14,13,15,"20181029 16:00:00",10000,20181114
"167","MYR2Y=","MYR_Forward_Swap_Point","2Y","MYR_Forward_2Y","MYR2Y=",20181029,100,50,150,"20181029 16:00:00",10000,20201030
"168","MYR3M=","MYR_NDF_Swap_Point","3M","MYR_NDF_3M","MYR3M=",20181029,34,28,40,"20181029 16:00:00",10000,20190131
"169","MYR3M=","MYR_Forward_Swap_Point","3M","MYR_Forward_3M","MYR3M=",20181029,34,28,40,"20181029 16:00:00",10000,20190131
"170","MYR4M=","MYR_NDF_Swap_Point","4M","MYR_NDF_4M","MYR4M=",20181029,34,28,40,"20181029 16:00:00",10000,20190228
"171","MYR5M=","MYR_NDF_Swap_Point","5M","MYR_NDF_5M","MYR5M=",20181029,37.5,25,50,"20181029 16:00:00",10000,20190329
"172","MYR6M=","MYR_Forward_Swap_Point","6M","MYR_Forward_6M","MYR6M=",20181029,45,35,55,"20181029 16:00:00",10000,20190430
"173","MYR6M=","MYR_NDF_Swap_Point","6M","MYR_NDF_6M","MYR6M=",20181029,45,35,55,"20181029 16:00:00",10000,20190430
"174","MYR9M=","MYR_Forward_Swap_Point","9M","MYR_Forward_9M","MYR9M=",20181029,55,40,70,"20181029 16:00:00",10000,20190731
"175","MYR9M=","MYR_NDF_Swap_Point","9M","MYR_NDF_9M","MYR9M=",20181029,55,40,70,"20181029 16:00:00",10000,20190731
"176","MYRSW=","MYR_NDF_Swap_Point","SW","MYR_NDF_SW","MYRSW=",20181029,6.5,6,7,"20181029 16:00:00",10000,20181107
"177","MYRSW=","MYR_Forward_Swap_Point","1W","MYR_Forward_1W","MYRSW=",20181029,6.5,6,7,"20181029 16:00:00",10000,20181107
"178","NOK10M=","NOK_Forward_Swap_Point","10M","NOK_Forward_10M","NOK10M=",20181029,-1134.15,-1144.15,-1124.15,"20181029 16:00:00",10000,20190830
"179","NOK11M=","NOK_Forward_Swap_Point","11M","NOK_Forward_11M","NOK11M=",20181029,-1253.8,-1276.3,-1231.3,"20181029 16:00:00",10000,20190930
"180","NOK1M=","NOK_Forward_Swap_Point","1M","NOK_Forward_1M","NOK1M=",20181029,-101.54,-108.69,-94.39,"20181029 16:00:00",10000,20181130
"181","NOK1Y=","NOK_Forward_Swap_Point","1Y","NOK_Forward_1Y","NOK1Y=",20181029,-1369.22,-1379.22,-1359.22,"20181029 16:00:00",10000,20191031
"182","NOK2M=","NOK_Forward_Swap_Point","2M","NOK_Forward_2M","NOK2M=",20181029,-209.8,-217.8,-201.8,"20181029 16:00:00",10000,20181231
"183","NOK2W=","NOK_Forward_Swap_Point","2W","NOK_Forward_2W","NOK2W=",20181029,-47.52,-49.72,-45.32,"20181029 16:00:00",10000,20181114
"184","NOK2Y=","NOK_Forward_Swap_Point","2Y","NOK_Forward_2Y","NOK2Y=",20181029,-2680.61,-2715.61,-2645.61,"20181029 16:00:00",10000,20201030
"185","NOK3M=","NOK_Forward_Swap_Point","3M","NOK_Forward_3M","NOK3M=",20181029,-360.45,-363.2,-357.7,"20181029 16:00:00",10000,20190131
"186","NOK3W=","NOK_Forward_Swap_Point","3W","NOK_Forward_3W","NOK3W=",20181029,-71.87,-74.15,-69.59,"20181029 16:00:00",10000,20181121
"187","NOK4M=","NOK_Forward_Swap_Point","4M","NOK_Forward_4M","NOK4M=",20181029,-463.5,-473.5,-453.5,"20181029 16:00:00",10000,20190228
"188","NOK5M=","NOK_Forward_Swap_Point","5M","NOK_Forward_5M","NOK5M=",20181029,-562.84,-570.34,-555.34,"20181029 16:00:00",10000,20190329
"189","NOK6M=","NOK_Forward_Swap_Point","6M","NOK_Forward_6M","NOK6M=",20181029,-685,-700,-670,"20181029 16:00:00",10000,20190430
"190","NOK7M=","NOK_Forward_Swap_Point","7M","NOK_Forward_7M","NOK7M=",20181029,-802.93,-817.93,-787.93,"20181029 16:00:00",10000,20190531
"191","NOK8M=","NOK_Forward_Swap_Point","8M","NOK_Forward_8M","NOK8M=",20181029,-909.46,-926.96,-891.96,"20181029 16:00:00",10000,20190628
"192","NOK9M=","NOK_Forward_Swap_Point","9M","NOK_Forward_9M","NOK9M=",20181029,-1027.64,-1055.28,-1000,"20181029 16:00:00",10000,20190731
"193","NOKSW=","NOK_Forward_Swap_Point","1W","NOK_Forward_SW","NOKSW=",20181029,-24.32,-26.42,-22.22,"20181029 16:00:00",10000,20181107
"194","NZD10M=","NZD_Forward_Swap_Point","10M","NZD_Forward_10M","NZD10M=",20181029,33.09,32.24,33.94,"20181029 16:00:00",10000,20190830
"195","NZD11M=","NZD_Forward_Swap_Point","11M","NZD_Forward_11M","NZD11M=",20181029,38.05,36.35,39.75,"20181029 16:00:00",10000,20190930
"196","NZD1M=","NZD_Forward_Swap_Point","1M","NZD_Forward_1M","NZD1M=",20181029,2.155,2.04,2.27,"20181029 16:00:00",10000,20181130
"197","NZD1Y=","NZD_Forward_Swap_Point","1Y","NZD_Forward_1Y","NZD1Y=",20181029,42.33,41.33,43.33,"20181029 16:00:00",10000,20191031
"198","NZD2M=","NZD_Forward_Swap_Point","2M","NZD_Forward_2M","NZD2M=",20181029,4.385,4.26,4.51,"20181029 16:00:00",10000,20181231
"199","NZD2W=","NZD_Forward_Swap_Point","2W","NZD_Forward_2W","NZD2W=",20181029,1.23,1.15,1.31,"20181029 16:00:00",10000,20181114
"200","NZD2Y=","NZD_Forward_Swap_Point","2Y","NZD_Forward_2Y","NZD2Y=",20181029,94.425,90.8,98.05,"20181029 16:00:00",10000,20201030
"201","NZD3M=","NZD_Forward_Swap_Point","3M","NZD_Forward_3M","NZD3M=",20181029,7.275,7.06,7.49,"20181029 16:00:00",10000,20190131
"202","NZD3W=","NZD_Forward_Swap_Point","3W","NZD_Forward_3W","NZD3W=",20181029,1.68,1.58,1.78,"20181029 16:00:00",10000,20181121
"203","NZD4M=","NZD_Forward_Swap_Point","4M","NZD_Forward_4M","NZD4M=",20181029,10.01,9.73,10.29,"20181029 16:00:00",10000,20190228
"204","NZD5M=","NZD_Forward_Swap_Point","5M","NZD_Forward_5M","NZD5M=",20181029,12.83,12.33,13.33,"20181029 16:00:00",10000,20190329
"205","NZD6M=","NZD_Forward_Swap_Point","6M","NZD_Forward_6M","NZD6M=",20181029,16.74,16.09,17.39,"20181029 16:00:00",10000,20190430
"206","NZD7M=","NZD_Forward_Swap_Point","7M","NZD_Forward_7M","NZD7M=",20181029,20.66,19.91,21.41,"20181029 16:00:00",10000,20190531
"207","NZD8M=","NZD_Forward_Swap_Point","8M","NZD_Forward_8M","NZD8M=",20181029,24.32,23.32,25.32,"20181029 16:00:00",10000,20190628
"208","NZD9M=","NZD_Forward_Swap_Point","9M","NZD_Forward_9M","NZD9M=",20181029,28.8,28.1,29.5,"20181029 16:00:00",10000,20190731
"209","NZDSW=","NZD_Forward_Swap_Point","1W","NZD_Forward_SW","NZDSW=",20181029,0.67,0.61,0.73,"20181029 16:00:00",10000,20181107
"210","PEN1MNDF=","PEN_NDF_Swap_Point","1M","PEN_NDF_1M","PEN1MNDF=",20181029,0.0045,0.004,0.005,"20181029 16:00:00",1,20181130
"211","PEN1YNDF=","PEN_NDF_Swap_Point","1Y","PEN_NDF_1Y","PEN1YNDF=",20181029,0.0503,0.0487,0.0519,"20181029 16:00:00",1,20191031
"212","PEN2MNDF=","PEN_NDF_Swap_Point","2M","PEN_NDF_2M","PEN2MNDF=",20181029,0.0087,0.0082,0.0092,"20181029 16:00:00",1,20181231
"213","PEN3MNDF=","PEN_NDF_Swap_Point","3M","PEN_NDF_3M","PEN3MNDF=",20181029,0.0129,0.0124,0.0134,"20181029 16:00:00",1,20190131
"214","PEN6MNDF=","PEN_NDF_Swap_Point","6M","PEN_NDF_6M","PEN6MNDF=",20181029,0.0251,0.0246,0.0256,"20181029 16:00:00",1,20190430
"215","PEN9MNDF=","PEN_NDF_Swap_Point","9M","PEN_NDF_9M","PEN9MNDF=",20181029,0.0391,0.0381,0.0401,"20181029 16:00:00",1,20190731
"216","PENSWNDF=","PEN_NDF_Swap_Point","1W","PEN_NDF_SW","PENSWNDF=",20181029,0.00105,8e-04,0.0013,"20181029 16:00:00",1,20181107
"217","PHP1M=","PHP_NDF_Swap_Point","1M","PHP_NDF_1M","PHP1M=",20181029,0.0865,0.075,0.098,"20181029 16:00:00",1,20181129
"218","PHP1Y=","PHP_NDF_Swap_Point","1Y","PHP_NDF_1Y","PHP1Y=",20181029,1.365,1.16,1.57,"20181029 16:00:00",1,20191030
"219","PHP2M=","PHP_NDF_Swap_Point","2M","PHP_NDF_2M","PHP2M=",20181029,0.1875,0.175,0.2,"20181029 16:00:00",1,20181228
"220","PHP2W=","PHP_NDF_Swap_Point","2W","PHP_NDF_2W","PHP2W=",20181029,0.024,0.019,0.029,"20181029 16:00:00",1,20181113
"221","PHP3M=","PHP_NDF_Swap_Point","3M","PHP_NDF_3M","PHP3M=",20181029,0.29,0.27,0.31,"20181029 16:00:00",1,20190130
"222","PHP3W=","PHP_NDF_Swap_Point","3W","PHP_NDF_3W","PHP3W=",20181029,0.0475,0.038,0.057,"20181029 16:00:00",1,20181120
"223","PHP4M=","PHP_NDF_Swap_Point","4M","PHP_NDF_4M","PHP4M=",20181029,0.42,0.37,0.47,"20181029 16:00:00",1,20190228
"224","PHP5M=","PHP_NDF_Swap_Point","5M","PHP_NDF_5M","PHP5M=",20181029,0.525,0.47,0.58,"20181029 16:00:00",1,20190329
"225","PHP6M=","PHP_NDF_Swap_Point","6M","PHP_NDF_6M","PHP6M=",20181029,0.655,0.57,0.74,"20181029 16:00:00",1,20190430
"226","PHP9M=","PHP_NDF_Swap_Point","9M","PHP_NDF_9M","PHP9M=",20181029,0.97,0.86,1.08,"20181029 16:00:00",1,20190730
"227","PHPSW=","PHP_NDF_Swap_Point","1W","PHP_NDF_SW","PHPSW=",20181029,0.012,0.009,0.015,"20181029 16:00:00",1,20181106
"228","RUB1M=","RUB_NDF_Swap_Point","1M","RUB_NDF_1M","RUB1M=",20181029,2510,2460,2560,"20181029 16:00:00",10000,20181130
"229","RUB1M=","RUB_Forward_Swap_Point","1M","RUB_Forward_1M","RUB1M=",20181029,2510,2460,2560,"20181029 16:00:00",10000,20181130
"230","RUB1Y=","RUB_Forward_Swap_Point","1Y","RUB_Forward_1Y","RUB1Y=",20181029,29950,29550,30350,"20181029 16:00:00",10000,20191030
"231","RUB1Y=","RUB_NDF_Swap_Point","1Y","RUB_NDF_1Y","RUB1Y=",20181029,29950,29550,30350,"20181029 16:00:00",10000,20191030
"232","RUB2M=","RUB_NDF_Swap_Point","2M","RUB_NDF_2M","RUB2M=",20181029,4612.5,4545,4680,"20181029 16:00:00",10000,20181228
"233","RUB2Y=","RUB_Forward_Swap_Point","2Y","RUB_Forward_2Y","RUB2Y=",20181029,60941,60241,61641,"20181029 16:00:00",10000,20201030
